library	file	cohort	library_type	isolation_type	serial	duplicate	batch
58	/aclm350-zpool1/jlinford/frag/analysis/bams/58_filt.bam	healthy	wgs	cfdna	0	0	2
73	/aclm350-zpool1/jlinford/frag/analysis/bams/73_filt.bam	healthy	wgs	cfdna	0	0	2
74	/aclm350-zpool1/jlinford/frag/analysis/bams/74_filt.bam	healthy	wgs	cfdna	0	0	2
81	/aclm350-zpool1/jlinford/frag/analysis/bams/81_filt.bam	healthy	wgs	cfdna	0	0	2
83	/aclm350-zpool1/jlinford/frag/analysis/bams/83_filt.bam	healthy	wgs	cfdna	0	0	2
BC001_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC001_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC002_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC002_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC003_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC003_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC004_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC004_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC005_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC005_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
BC006_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC006_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
BC008_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC008_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC009_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC009_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
BC010_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC010_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC011_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC011_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
BC014_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC014_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
BC015_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC015_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
BC016_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC016_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
BC017_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC017_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC018_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC018_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC019_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC019_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
