library	file	cohort	batch
58	/mnt/data/urine/bams/dedup/58_aligned_dedup.bam	healthy	2
73	/mnt/data/urine/bams/dedup/73_aligned_dedup.bam	healthy	2
74	/mnt/data/urine/bams/dedup/74_aligned_dedup.bam	healthy	2
81	/mnt/data/urine/bams/dedup/81_aligned_dedup.bam	healthy	2
83	/mnt/data/urine/bams/dedup/83_aligned_dedup.bam	healthy	2
BC001_UC1	/mnt/data/urine/bams/dedup/BC001_UC1_aligned_dedup.bam	bladder	3
BC002_UC1	/mnt/data/urine/bams/dedup/BC002_UC1_aligned_dedup.bam	bladder	3
BC003_UC1	/mnt/data/urine/bams/dedup/BC003_UC1_aligned_dedup.bam	bladder	3
BC004_UC1	/mnt/data/urine/bams/dedup/BC004_UC1_aligned_dedup.bam	bladder	3
BC005_UC1	/mnt/data/urine/bams/dedup/BC005_UC1_aligned_dedup.bam	bladder	1
BC006_UC1	/mnt/data/urine/bams/dedup/BC006_UC1_aligned_dedup.bam	bladder	1
BC008_UC1	/mnt/data/urine/bams/dedup/BC008_UC1_aligned_dedup.bam	bladder	3
BC009_UC1	/mnt/data/urine/bams/dedup/BC009_UC1_aligned_dedup.bam	bladder	1
BC010_UC1	/mnt/data/urine/bams/dedup/BC010_UC1_aligned_dedup.bam	bladder	3
BC011_UC1	/mnt/data/urine/bams/dedup/BC011_UC1_aligned_dedup.bam	bladder	1
BC014_UC1	/mnt/data/urine/bams/dedup/BC014_UC1_aligned_dedup.bam	bladder	2
BC015_UC1	/mnt/data/urine/bams/dedup/BC015_UC1_aligned_dedup.bam	bladder	1
BC016_UC1	/mnt/data/urine/bams/dedup/BC016_UC1_aligned_dedup.bam	bladder	1
BC017_UC1	/mnt/data/urine/bams/dedup/BC017_UC1_aligned_dedup.bam	bladder	3
BC018_UC1	/mnt/data/urine/bams/dedup/BC018_UC1_aligned_dedup.bam	bladder	3
BC019_UC1	/mnt/data/urine/bams/dedup/BC019_UC1_aligned_dedup.bam	bladder	3
BC020_UC1	/mnt/data/urine/bams/dedup/BC020_UC1_aligned_dedup.bam	bladder	1
BC021_UC1	/mnt/data/urine/bams/dedup/BC021_UC1_aligned_dedup.bam	bladder	1
BC022_UC1	/mnt/data/urine/bams/dedup/BC022_UC1_aligned_dedup.bam	bladder	3
BC023_UC1	/mnt/data/urine/bams/dedup/BC023_UC1_aligned_dedup.bam	bladder	3
BC024_UC1	/mnt/data/urine/bams/dedup/BC024_UC1_aligned_dedup.bam	bladder	3
BC026_UC1	/mnt/data/urine/bams/dedup/BC026_UC1_aligned_dedup.bam	bladder	3
BC027_UC1	/mnt/data/urine/bams/dedup/BC027_UC1_aligned_dedup.bam	bladder	3
BC028_UC1	/mnt/data/urine/bams/dedup/BC028_UC1_aligned_dedup.bam	bladder	3
BC029_UC1	/mnt/data/urine/bams/dedup/BC029_UC1_aligned_dedup.bam	bladder	3
DEV001	/mnt/data/urine/bams/dedup/DEV001_aligned_dedup.bam	prostate	4
DEV002	/mnt/data/urine/bams/dedup/DEV002_aligned_dedup.bam	prostate	4
DEV003	/mnt/data/urine/bams/dedup/DEV003_aligned_dedup.bam	prostate	4
DEV004	/mnt/data/urine/bams/dedup/DEV004_aligned_dedup.bam	prostate	4
DEV005	/mnt/data/urine/bams/dedup/DEV005_aligned_dedup.bam	prostate	4
DEV006	/mnt/data/urine/bams/dedup/DEV006_aligned_dedup.bam	prostate	4
DEV007	/mnt/data/urine/bams/dedup/DEV007_aligned_dedup.bam	prostate	4
DEV008	/mnt/data/urine/bams/dedup/DEV008_aligned_dedup.bam	prostate	4
DEV009	/mnt/data/urine/bams/dedup/DEV009_aligned_dedup.bam	prostate	4
DEV010	/mnt/data/urine/bams/dedup/DEV010_aligned_dedup.bam	prostate	4
NU1	/mnt/data/urine/bams/dedup/NU1_aligned_dedup.bam	healthy	2
NU1_UC1	/mnt/data/urine/bams/dedup/NU1_UC1_aligned_dedup.bam	healthy	1
NU10	/mnt/data/urine/bams/dedup/NU10_aligned_dedup.bam	healthy	2
NU102	/mnt/data/urine/bams/dedup/NU102_aligned_dedup.bam	healthy	2
NU102_B4	/mnt/data/urine/bams/dedup/NU102_B4_aligned_dedup.bam	healthy	4
NU103	/mnt/data/urine/bams/dedup/NU103_aligned_dedup.bam	healthy	2
NU13	/mnt/data/urine/bams/dedup/NU13_aligned_dedup.bam	healthy	3
NU13_B4	/mnt/data/urine/bams/dedup/NU13_B4_aligned_dedup.bam	healthy	4
NU15	/mnt/data/urine/bams/dedup/NU15_aligned_dedup.bam	healthy	3
NU15_B4	/mnt/data/urine/bams/dedup/NU15_B4_aligned_dedup.bam	healthy	4
NU16	/mnt/data/urine/bams/dedup/NU16_aligned_dedup.bam	healthy	2
NU16_UC1	/mnt/data/urine/bams/dedup/NU16_UC1_aligned_dedup.bam	healthy	1
NU18	/mnt/data/urine/bams/dedup/NU18_aligned_dedup.bam	healthy	2
NU18_UC1	/mnt/data/urine/bams/dedup/NU18_UC1_aligned_dedup.bam	healthy	1
NU19	/mnt/data/urine/bams/dedup/NU19_aligned_dedup.bam	healthy	2
NU19_UC1	/mnt/data/urine/bams/dedup/NU19_UC1_aligned_dedup.bam	healthy	1
NU19R_UC1	/mnt/data/urine/bams/dedup/NU19R_UC1_aligned_dedup.bam	healthy	1
NU2	/mnt/data/urine/bams/dedup/NU2_aligned_dedup.bam	healthy	3
NU2_B4	/mnt/data/urine/bams/dedup/NU2_B4_aligned_dedup.bam	healthy	4
Nu21	/mnt/data/urine/bams/dedup/Nu21_aligned_dedup.bam	healthy	3
Nu21_B4	/mnt/data/urine/bams/dedup/Nu21_B4_aligned_dedup.bam	healthy	4
NU24	/mnt/data/urine/bams/dedup/NU24_aligned_dedup.bam	healthy	3
NU24_B4	/mnt/data/urine/bams/dedup/NU24_B4_aligned_dedup.bam	healthy	4
NU3	/mnt/data/urine/bams/dedup/NU3_aligned_dedup.bam	healthy	2
NU3_UC1	/mnt/data/urine/bams/dedup/NU3_UC1_aligned_dedup.bam	healthy	1
NU31	/mnt/data/urine/bams/dedup/NU31_aligned_dedup.bam	healthy	3
NU31_B4	/mnt/data/urine/bams/dedup/NU31_B4_aligned_dedup.bam	healthy	4
NU32_UC1	/mnt/data/urine/bams/dedup/NU32_UC1_aligned_dedup.bam	healthy	1
NU33	/mnt/data/urine/bams/dedup/NU33_aligned_dedup.bam	healthy	3
NU33_UC1	/mnt/data/urine/bams/dedup/NU33_UC1_aligned_dedup.bam	healthy	1
NU36	/mnt/data/urine/bams/dedup/NU36_aligned_dedup.bam	healthy	3
NU36_UC1	/mnt/data/urine/bams/dedup/NU36_UC1_aligned_dedup.bam	healthy	1
NU37	/mnt/data/urine/bams/dedup/NU37_aligned_dedup.bam	healthy	3
NU37_B4	/mnt/data/urine/bams/dedup/NU37_B4_aligned_dedup.bam	healthy	4
NU39	/mnt/data/urine/bams/dedup/NU39_aligned_dedup.bam	healthy	3
NU39_B4	/mnt/data/urine/bams/dedup/NU39_B4_aligned_dedup.bam	healthy	4
NU5	/mnt/data/urine/bams/dedup/NU5_aligned_dedup.bam	healthy	3
NU5_B4	/mnt/data/urine/bams/dedup/NU5_B4_aligned_dedup.bam	healthy	4
NU55	/mnt/data/urine/bams/dedup/NU55_aligned_dedup.bam	healthy	3
NU55_B4	/mnt/data/urine/bams/dedup/NU55_B4_aligned_dedup.bam	healthy	4
NU68	/mnt/data/urine/bams/dedup/NU68_aligned_dedup.bam	healthy	3
